Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,M,7/20/16,456777465,7/31/16,9457,81.73,56.67,772920.61,535928.19,236992.42
Sub-Saharan Africa,South Africa,Clothes,Offline,L,9/1/10,651503694,9/22/10,3276,109.28,35.84,358001.28,117411.84,240589.44
Europe,Czech Republic,Office Supplies,Online,H,3/5/14,436618411,3/13/14,3945,651.21,524.96,2569023.45,2070967.2,498056.25
Central America and the Caribbean,Antigua and Barbuda ,Beverages,Online,M,12/11/16,273107945,1/4/17,7565,47.45,31.79,358959.25,240491.35,118467.9
Middle East and North Africa,Oman,Household,Online,M,9/15/13,692271125,9/16/13,7264,668.27,502.54,4854313.28,3650450.56,1203862.72
Sub-Saharan Africa,Tanzania,Beverages,Online,C,5/22/15,945719277,7/3/15,8205,47.45,31.79,389327.25,260836.95,128490.3
Europe,United Kingdom,Baby Food,Offline,H,1/22/15,355376231,2/25/15,2579,255.28,159.42,658367.12,411144.18,247222.94
Australia and Oceania,Federated States of Micronesia,Baby Food,Offline,C,6/3/14,563478314,6/30/14,4610,255.28,159.42,1176840.8,734926.2,441914.6
Europe,Lithuania,Cereal,Online,H,6/17/12,582574355,6/29/12,5553,205.7,117.11,1142252.1,650311.83,491940.27
Asia,Cambodia,Cosmetics,Online,H,10/18/16,845525681,11/29/16,8693,437.2,263.33,3800579.6,2289127.69,1511451.91
Europe,Belgium,Cosmetics,Offline,M,3/9/17,955506122,3/16/17,4350,437.2,263.33,1901820,1145485.5,756334.5
Central America and the Caribbean,Trinidad and Tobago,Snacks,Online,L,1/7/12,136002004,1/19/12,4870,152.58,97.44,743064.6,474532.8,268531.8
Sub-Saharan Africa,South Sudan,Cosmetics,Online,C,2/8/12,380812156,2/8/12,9634,437.2,263.33,4211984.8,2536921.22,1675063.58
Central America and the Caribbean,Trinidad and Tobago,Personal Care,Offline,H,3/9/14,604047906,4/5/14,53,81.73,56.67,4331.69,3003.51,1328.18
Asia,Laos,Beverages,Offline,L,4/10/12,690133082,5/17/12,4570,47.45,31.79,216846.5,145280.3,71566.2
Asia,Malaysia,Personal Care,Offline,C,8/5/16,143804013,9/12/16,3658,81.73,56.67,298968.34,207298.86,91669.48
Asia,Japan,Cereal,Online,C,12/5/11,340109527,12/29/11,4822,205.7,117.11,991885.4,564704.42,427180.98
Middle East and North Africa,Morocco,Personal Care,Offline,H,6/1/14,474410951,6/7/14,7598,81.73,56.67,620984.54,430578.66,190405.88
Middle East and North Africa,Pakistan,Clothes,Offline,C,10/5/14,712382113,11/6/14,8553,109.28,35.84,934671.84,306539.52,628132.32
Central America and the Caribbean,Haiti,Office Supplies,Offline,L,4/19/12,840009343,4/29/12,6286,651.21,524.96,4093506.06,3299898.56,793607.5
Europe,Belgium,Baby Food,Offline,C,3/22/11,713591468,5/3/11,6428,255.28,159.42,1640939.84,1024751.76,616188.08
Asia,Myanmar,Vegetables,Online,H,10/11/16,709739816,11/18/16,6638,154.06,90.93,1022650.28,603593.34,419056.94
Middle East and North Africa,Israel,Personal Care,Online,M,5/12/16,375378215,7/1/16,1610,81.73,56.67,131585.3,91238.7,40346.6
Sub-Saharan Africa,Burundi,Personal Care,Online,C,7/26/13,677742993,9/4/13,8068,81.73,56.67,659397.64,457213.56,202184.08
Asia,Kyrgyzstan,Cosmetics,Offline,C,11/5/16,854382979,11/16/16,9765,437.2,263.33,4269258,2571417.45,1697840.55
Sub-Saharan Africa,Central African Republic,Baby Food,Offline,H,12/27/12,663159501,1/25/13,2488,255.28,159.42,635136.64,396636.96,238499.68
Europe,Georgia,Beverages,Offline,H,5/14/16,832246387,6/30/16,9055,47.45,31.79,429659.75,287858.45,141801.3
Sub-Saharan Africa,Cameroon,Vegetables,Online,L,2/12/12,810129964,3/15/12,4314,154.06,90.93,664614.84,392272.02,272342.82
Sub-Saharan Africa,Equatorial Guinea,Snacks,Offline,M,12/12/12,115609061,1/20/13,145,152.58,97.44,22124.1,14128.8,7995.3
Europe,Netherlands,Snacks,Offline,H,6/26/17,587795007,8/2/17,459,152.58,97.44,70034.22,44724.96,25309.26
Asia,Uzbekistan,Clothes,Offline,C,1/25/14,536111629,2/26/14,6199,109.28,35.84,677426.72,222172.16,455254.56
Asia,India,Clothes,Online,H,10/23/14,590295255,12/7/14,338,109.28,35.84,36936.64,12113.92,24822.72
Sub-Saharan Africa,Djibouti,Cosmetics,Online,C,12/17/13,550394713,1/20/14,2882,437.2,263.33,1260010.4,758917.06,501093.34
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Online,H,5/30/14,736771333,6/19/14,5865,255.28,159.42,1497217.2,934998.3,562218.9
Australia and Oceania,Marshall Islands,Office Supplies,Offline,C,4/28/16,640098941,5/11/16,8356,651.21,524.96,5441510.76,4386565.76,1054945
Asia,Tajikistan,Fruits,Online,C,5/12/13,271363866,6/18/13,1453,9.33,6.92,13556.49,10054.76,3501.73
Europe,Netherlands,Meat,Online,L,8/9/11,611864936,8/12/11,3286,421.89,364.69,1386330.54,1198371.34,187959.2
Australia and Oceania,Samoa ,Snacks,Online,L,8/17/10,463213479,9/22/10,4017,152.58,97.44,612913.86,391416.48,221497.38
Middle East and North Africa,Egypt,Cosmetics,Offline,H,11/9/14,497333323,12/27/14,837,437.2,263.33,365936.4,220407.21,145529.19
Europe,Greece,Beverages,Online,L,8/21/14,106460797,9/6/14,2971,47.45,31.79,140973.95,94448.09,46525.86
Europe,Austria,Beverages,Online,L,9/27/12,553144729,10/2/12,6672,47.45,31.79,316586.4,212102.88,104483.52
Central America and the Caribbean,Costa Rica,Meat,Online,C,12/31/12,920246446,2/12/13,228,421.89,364.69,96190.92,83149.32,13041.6
Middle East and North Africa,Qatar,Cereal,Offline,L,7/11/16,360939776,8/25/16,8956,205.7,117.11,1842249.2,1048837.16,793412.04
Middle East and North Africa,Bahrain,Cereal,Offline,C,5/10/10,348711049,6/19/10,203,205.7,117.11,41757.1,23773.33,17983.77
Sub-Saharan Africa,Benin,Household,Offline,C,8/28/16,627359092,10/15/16,8351,668.27,502.54,5580722.77,4196711.54,1384011.23
Australia and Oceania,Fiji,Cereal,Online,M,3/29/13,560995233,5/16/13,9811,205.7,117.11,2018122.7,1148966.21,869156.49
Europe,Vatican City,Meat,Offline,M,1/18/13,484043300,1/27/13,8024,421.89,364.69,3385245.36,2926272.56,458972.8
Australia and Oceania,East Timor,Snacks,Online,L,12/12/14,351239621,12/28/14,8464,152.58,97.44,1291437.12,824732.16,466704.96
Australia and Oceania,Tonga,Cereal,Offline,L,1/29/15,187633025,3/8/15,3637,205.7,117.11,748130.9,425929.07,322201.83
Europe,Poland,Baby Food,Offline,M,8/25/10,538584840,9/3/10,8078,255.28,159.42,2062151.84,1287794.76,774357.08
Europe,Russia,Personal Care,Offline,L,4/17/11,219768893,4/19/11,3354,81.73,56.67,274122.42,190071.18,84051.24
Asia,Laos,Office Supplies,Offline,M,7/23/12,367171514,7/25/12,3065,651.21,524.96,1995958.65,1609002.4,386956.25
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,L,11/10/14,387091529,12/15/14,7840,9.33,6.92,73147.2,54252.8,18894.4
Central America and the Caribbean,The Bahamas,Office Supplies,Online,M,1/29/12,206140267,3/4/12,341,651.21,524.96,222062.61,179011.36,43051.25
Europe,Romania,Household,Offline,H,7/17/10,721241557,8/16/10,259,668.27,502.54,173081.93,130157.86,42924.07
Australia and Oceania,Solomon Islands,Cosmetics,Offline,C,1/21/10,649631726,1/28/10,9319,437.2,263.33,4074266.8,2453972.27,1620294.53
Asia,Maldives,Office Supplies,Offline,C,4/17/15,578859603,6/1/15,6275,651.21,524.96,4086342.75,3294124,792218.75
Central America and the Caribbean,Saint Kitts and Nevis ,Meat,Online,L,10/27/16,716786515,11/29/16,1913,421.89,364.69,807075.57,697651.97,109423.6
Australia and Oceania,Australia,Clothes,Offline,H,2/1/10,441586291,3/23/10,4051,109.28,35.84,442693.28,145187.84,297505.44
Asia,Maldives,Cosmetics,Offline,C,4/20/14,551745259,5/28/14,2538,437.2,263.33,1109613.6,668331.54,441282.06
Sub-Saharan Africa,Angola,Clothes,Online,L,9/1/15,116062247,9/28/15,4253,109.28,35.84,464767.84,152427.52,312340.32
Asia,Singapore,Meat,Offline,H,8/7/16,523648583,8/17/16,8107,421.89,364.69,3420262.23,2956541.83,463720.4
Middle East and North Africa,Saudi Arabia,Fruits,Offline,L,10/17/16,533928096,11/7/16,43,9.33,6.92,401.19,297.56,103.63
Sub-Saharan Africa,Guinea,Household,Offline,C,1/3/17,326637113,1/5/17,8035,668.27,502.54,5369549.45,4037908.9,1331640.55
Sub-Saharan Africa,Mauritania,Personal Care,Offline,C,4/11/15,151824462,5/20/15,7087,81.73,56.67,579220.51,401620.29,177600.22
Europe,Greece,Personal Care,Online,H,9/13/10,779851472,10/9/10,4235,81.73,56.67,346126.55,239997.45,106129.1
Sub-Saharan Africa,Mauritius ,Fruits,Offline,M,10/22/14,351391971,12/11/14,3548,9.33,6.92,33102.84,24552.16,8550.68
Europe,Norway,Beverages,Online,C,6/20/17,227432286,6/27/17,1122,47.45,31.79,53238.9,35668.38,17570.52
Australia and Oceania,Kiribati,Cosmetics,Offline,L,5/29/13,939271247,7/5/13,90,437.2,263.33,39348,23699.7,15648.3
Sub-Saharan Africa,Namibia,Cereal,Offline,M,7/23/13,838520181,8/29/13,5610,205.7,117.11,1153977,656987.1,496989.9
Asia,Mongolia,Cereal,Offline,C,12/27/10,147102916,2/10/11,9877,205.7,117.11,2031698.9,1156695.47,875003.43
North America,Mexico,Cosmetics,Offline,L,12/22/14,507255780,1/4/15,7113,437.2,263.33,3109803.6,1873066.29,1236737.31
Europe,Monaco,Meat,Offline,C,12/4/16,931527602,1/3/17,8573,421.89,364.69,3616862.97,3126487.37,490375.6
Sub-Saharan Africa,Tanzania,Cereal,Online,H,11/21/16,952779710,11/21/16,7544,205.7,117.11,1551800.8,883477.84,668322.96
Europe,Malta,Snacks,Offline,L,3/13/12,174185931,3/26/12,4343,152.58,97.44,662654.94,423181.92,239473.02
Europe,Monaco,Personal Care,Online,H,5/20/16,519232594,6/14/16,1318,81.73,56.67,107720.14,74691.06,33029.08
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,L,7/18/17,381718528,8/14/17,7850,205.7,117.11,1614745,919313.5,695431.5
Australia and Oceania,Papua New Guinea,Beverages,Offline,H,6/1/12,475755059,6/26/12,5349,47.45,31.79,253810.05,170044.71,83765.34
Middle East and North Africa,Turkey,Beverages,Online,H,2/27/10,685766017,3/13/10,2259,47.45,31.79,107189.55,71813.61,35375.94
North America,United States of America,Vegetables,Offline,C,6/2/13,516487729,6/4/13,9051,154.06,90.93,1394397.06,823007.43,571389.63
Middle East and North Africa,Lebanon,Beverages,Offline,H,7/23/14,442969024,8/26/14,3233,47.45,31.79,153405.85,102777.07,50628.78
Europe,Romania,Clothes,Online,C,7/27/14,560571229,8/15/14,4339,109.28,35.84,474165.92,155509.76,318656.16
Australia and Oceania,Tonga,Vegetables,Offline,H,9/23/11,134968173,9/27/11,8937,154.06,90.93,1376834.22,812641.41,564192.81
Europe,Armenia,Clothes,Offline,M,12/9/12,752146184,12/10/12,5625,109.28,35.84,614700,201600,413100
Europe,Andorra,Fruits,Online,H,10/29/14,468404090,11/7/14,34,9.33,6.92,317.22,235.28,81.94
Sub-Saharan Africa,Liberia,Clothes,Online,C,1/25/15,560353219,3/6/15,9825,109.28,35.84,1073676,352128,721548
Asia,Brunei,Office Supplies,Offline,C,3/13/16,574917399,4/25/16,9689,651.21,524.96,6309573.69,5086337.44,1223236.25
Asia,Japan,Baby Food,Online,C,3/28/14,579332959,4/30/14,6352,255.28,159.42,1621538.56,1012635.84,608902.72
Europe,Germany,Office Supplies,Offline,L,1/25/10,711148726,2/5/10,3566,651.21,524.96,2322214.86,1872007.36,450207.5
Europe,Finland,Fruits,Online,M,3/15/13,728226029,4/29/13,7120,9.33,6.92,66429.6,49270.4,17159.2
Sub-Saharan Africa,Ethiopia,Office Supplies,Online,H,4/15/15,458738696,5/21/15,9829,651.21,524.96,6400743.09,5159831.84,1240911.25
Middle East and North Africa,Saudi Arabia,Fruits,Online,L,8/8/16,251173055,8/9/16,6543,9.33,6.92,61046.19,45277.56,15768.63
Sub-Saharan Africa,Sao Tome and Principe,Meat,Offline,C,9/20/14,524327933,11/7/14,9142,421.89,364.69,3856918.38,3333995.98,522922.4
North America,Canada,Office Supplies,Offline,L,11/1/15,417314660,12/13/15,1536,651.21,524.96,1000258.56,806338.56,193920
Central America and the Caribbean,El Salvador,Meat,Offline,H,11/9/15,939557063,12/21/15,4669,421.89,364.69,1969804.41,1702737.61,267066.8
Europe,Albania,Snacks,Offline,H,10/2/11,920791471,10/18/11,1513,152.58,97.44,230853.54,147426.72,83426.82
Middle East and North Africa,Azerbaijan,Snacks,Offline,C,12/3/12,161066710,12/28/12,2074,152.58,97.44,316450.92,202090.56,114360.36
Sub-Saharan Africa,The Gambia,Office Supplies,Offline,M,9/6/14,780744111,10/15/14,8387,651.21,524.96,5461698.27,4402839.52,1058858.75
Australia and Oceania,Palau,Snacks,Offline,C,3/12/17,470497500,3/30/17,9521,152.58,97.44,1452714.18,927726.24,524987.94
Central America and the Caribbean,Antigua and Barbuda ,Beverages,Online,H,2/13/14,141313207,3/21/14,6573,47.45,31.79,311888.85,208955.67,102933.18
Sub-Saharan Africa,Cameroon,Personal Care,Offline,L,7/18/11,774490058,7/20/11,7674,81.73,56.67,627196.02,434885.58,192310.44
Europe,Montenegro,Personal Care,Online,L,8/10/16,271639382,9/24/16,2985,81.73,56.67,243964.05,169159.95,74804.1
Middle East and North Africa,United Arab Emirates,Clothes,Offline,M,1/9/11,204685008,2/1/11,9697,109.28,35.84,1059688.16,347540.48,712147.68
Europe,Serbia,Household,Online,C,6/5/15,865863263,6/21/15,7036,668.27,502.54,4701947.72,3535871.44,1166076.28
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Online,H,6/10/17,817722976,7/18/17,1255,47.45,31.79,59549.75,39896.45,19653.3
Australia and Oceania,Solomon Islands,Baby Food,Online,L,4/30/13,943125474,5/15/13,641,255.28,159.42,163634.48,102188.22,61446.26
Sub-Saharan Africa,Swaziland,Office Supplies,Offline,L,10/11/11,395244586,10/26/11,511,651.21,524.96,332768.31,268254.56,64513.75
Europe,San Marino,Vegetables,Offline,C,12/17/14,647566640,1/3/15,8214,154.06,90.93,1265448.84,746899.02,518549.82
Asia,Kazakhstan,Cosmetics,Online,M,10/6/14,543890464,11/13/14,8130,437.2,263.33,3554436,2140872.9,1413563.1
Sub-Saharan Africa,Kenya,Baby Food,Offline,M,9/16/11,348327386,9/25/11,6669,255.28,159.42,1702462.32,1063171.98,639290.34
Middle East and North Africa,Tunisia ,Baby Food,Online,L,3/3/11,395301234,3/4/11,7275,255.28,159.42,1857162,1159780.5,697381.5
Australia and Oceania,Fiji,Cosmetics,Online,M,1/4/12,639548337,2/18/12,5420,437.2,263.33,2369624,1427248.6,942375.4
Sub-Saharan Africa,Burundi,Meat,Online,L,5/16/10,206117522,5/27/10,3610,421.89,364.69,1523022.9,1316530.9,206492
Middle East and North Africa,Syria,Clothes,Online,L,1/14/11,540370118,2/19/11,6381,109.28,35.84,697315.68,228695.04,468620.64
Sub-Saharan Africa,Ghana,Snacks,Offline,L,1/25/16,457979953,3/5/16,5300,152.58,97.44,808674,516432,292242
Middle East and North Africa,United Arab Emirates,Vegetables,Offline,L,6/9/13,194933354,6/17/13,3966,154.06,90.93,611001.96,360628.38,250373.58
Middle East and North Africa,Egypt,Cereal,Online,M,2/16/11,957529151,3/4/11,3009,205.7,117.11,618951.3,352383.99,266567.31
Sub-Saharan Africa,Lesotho,Office Supplies,Online,C,8/9/10,872378671,8/9/10,5090,651.21,524.96,3314658.9,2672046.4,642612.5
Sub-Saharan Africa,Mozambique,Cereal,Online,M,8/12/10,836405742,9/18/10,9901,205.7,117.11,2036635.7,1159506.11,877129.59
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,M,12/19/10,466846692,1/2/11,9165,437.2,263.33,4006938,2413419.45,1593518.55
Sub-Saharan Africa,Uganda,Cosmetics,Online,M,4/28/16,351250350,5/7/16,1639,437.2,263.33,716570.8,431597.87,284972.93
Sub-Saharan Africa,Mali,Vegetables,Offline,L,4/9/17,697478044,4/22/17,8107,154.06,90.93,1248964.42,737169.51,511794.91
Sub-Saharan Africa,Nigeria,Snacks,Online,C,10/24/16,883703601,10/26/16,6388,152.58,97.44,974681.04,622446.72,352234.32
Middle East and North Africa,Azerbaijan,Clothes,Offline,L,6/14/11,808413350,7/6/11,6330,109.28,35.84,691742.4,226867.2,464875.2
Europe,Bosnia and Herzegovina,Cereal,Offline,H,2/7/10,440406119,3/29/10,4812,205.7,117.11,989828.4,563533.32,426295.08
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Online,M,3/9/15,268793237,4/8/15,747,668.27,502.54,499197.69,375397.38,123800.31
Middle East and North Africa,Pakistan,Meat,Offline,L,3/31/11,852998530,5/14/11,76,421.89,364.69,32063.64,27716.44,4347.2
North America,Greenland,Vegetables,Offline,C,3/10/14,572758328,4/17/14,772,154.06,90.93,118934.32,70197.96,48736.36
Sub-Saharan Africa,Guinea,Snacks,Offline,C,6/23/14,578121459,8/6/14,7842,152.58,97.44,1196532.36,764124.48,432407.88
Australia and Oceania,Australia,Personal Care,Online,C,3/18/11,739449250,3/27/11,8320,81.73,56.67,679993.6,471494.4,208499.2
Europe,Iceland,Fruits,Offline,H,11/30/15,997415530,12/18/15,6275,9.33,6.92,58545.75,43423,15122.75
Europe,Macedonia,Cosmetics,Online,L,11/22/10,913006627,12/12/10,7805,437.2,263.33,3412346,2055290.65,1357055.35
Sub-Saharan Africa,Comoros,Snacks,Offline,M,8/1/13,117521369,8/1/13,6040,152.58,97.44,921583.2,588537.6,333045.6
Sub-Saharan Africa,Mozambique,Office Supplies,Offline,H,3/15/12,562571084,3/24/12,6140,651.21,524.96,3998429.4,3223254.4,775175
Sub-Saharan Africa,Chad,Fruits,Offline,L,12/18/14,670079600,1/21/15,299,9.33,6.92,2789.67,2069.08,720.59
Middle East and North Africa,Kuwait,Office Supplies,Offline,L,12/31/15,282283246,1/27/16,2740,651.21,524.96,1784315.4,1438390.4,345925
North America,Canada,Cosmetics,Offline,H,4/16/14,211730849,5/13/14,4718,437.2,263.33,2062709.6,1242390.94,820318.66
Sub-Saharan Africa,Namibia,Fruits,Offline,L,6/16/17,891283738,7/23/17,9519,9.33,6.92,88812.27,65871.48,22940.79
Central America and the Caribbean,Haiti,Clothes,Online,M,4/5/15,124115741,5/24/15,7461,109.28,35.84,815338.08,267402.24,547935.84
Europe,Armenia,Office Supplies,Offline,H,8/26/13,733713185,9/11/13,891,651.21,524.96,580228.11,467739.36,112488.75
Central America and the Caribbean,Panama,Cereal,Online,C,11/20/15,213874900,12/21/15,9190,205.7,117.11,1890383,1076240.9,814142.1
Europe,Georgia,Office Supplies,Online,L,2/13/11,178712213,2/14/11,3770,651.21,524.96,2455061.7,1979099.2,475962.5
Europe,Switzerland,Baby Food,Offline,C,2/1/16,512648952,2/21/16,3072,255.28,159.42,784220.16,489738.24,294481.92
Asia,Mongolia,Vegetables,Offline,H,9/19/10,720421445,11/3/10,7570,154.06,90.93,1166234.2,688340.1,477894.1
Europe,Moldova ,Beverages,Offline,L,2/2/10,377078521,2/23/10,4769,47.45,31.79,226289.05,151606.51,74682.54
Sub-Saharan Africa,Liberia,Cereal,Online,C,3/13/15,477981507,3/22/15,4205,205.7,117.11,864968.5,492447.55,372520.95
Sub-Saharan Africa,Mali,Cosmetics,Offline,L,9/26/16,288804233,10/1/16,2445,437.2,263.33,1068954,643841.85,425112.15
Asia,Bhutan,Fruits,Online,M,1/20/14,495533025,2/10/14,8089,9.33,6.92,75470.37,55975.88,19494.49
Europe,Cyprus,Clothes,Offline,L,5/2/11,954466712,5/7/11,6765,109.28,35.84,739279.2,242457.6,496821.6
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Online,H,10/30/13,242216622,11/18/13,6136,651.21,524.96,3995824.56,3221154.56,774670
Sub-Saharan Africa,Togo,Office Supplies,Offline,L,7/3/16,605706584,7/17/16,893,651.21,524.96,581530.53,468789.28,112741.25
Europe,Portugal,Personal Care,Online,M,5/20/15,312172925,5/23/15,7761,81.73,56.67,634306.53,439815.87,194490.66
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Offline,L,5/4/11,399164474,6/13/11,493,152.58,97.44,75221.94,48037.92,27184.02
Asia,Kazakhstan,Clothes,Offline,H,11/20/13,624542558,12/28/13,4876,109.28,35.84,532849.28,174755.84,358093.44
Middle East and North Africa,Lebanon,Cereal,Online,L,9/4/14,816481006,9/6/14,3728,205.7,117.11,766849.6,436586.08,330263.52
Sub-Saharan Africa,Rwanda,Meat,Online,C,12/28/13,423466145,2/16/14,1898,421.89,364.69,800747.22,692181.62,108565.6
Asia,China,Office Supplies,Online,C,12/18/16,764296805,1/21/17,1264,651.21,524.96,823129.44,663549.44,159580
Sub-Saharan Africa,Botswana,Cosmetics,Online,M,8/28/14,978084313,9/22/14,5738,437.2,263.33,2508653.6,1510987.54,997666.06
Asia,Taiwan,Office Supplies,Offline,C,7/17/10,274252498,8/15/10,6263,651.21,524.96,4078528.23,3287824.48,790703.75
Central America and the Caribbean,Costa Rica,Cereal,Online,C,9/28/16,182537686,10/14/16,5813,205.7,117.11,1195734.1,680760.43,514973.67
Central America and the Caribbean,Saint Vincent and the Grenadines,Household,Online,M,5/11/12,502988708,6/25/12,4391,668.27,502.54,2934373.57,2206653.14,727720.43
Sub-Saharan Africa,Rwanda,Cereal,Offline,L,6/5/15,655966889,7/12/15,4034,205.7,117.11,829793.8,472421.74,357372.06
Asia,North Korea,Meat,Offline,H,12/19/10,132146060,12/19/10,3811,421.89,364.69,1607822.79,1389833.59,217989.2
Asia,Kazakhstan,Clothes,Offline,M,5/10/15,742512547,5/21/15,4818,109.28,35.84,526511.04,172677.12,353833.92
Australia and Oceania,Vanuatu,Snacks,Online,H,12/15/11,768365180,1/14/12,5186,152.58,97.44,791279.88,505323.84,285956.04
Australia and Oceania,Papua New Guinea,Meat,Online,H,6/28/15,811315286,7/29/15,5077,421.89,364.69,2141935.53,1851531.13,290404.4
Europe,Luxembourg,Personal Care,Online,C,3/28/15,643286693,4/24/15,1682,81.73,56.67,137469.86,95318.94,42150.92
Sub-Saharan Africa,Botswana,Personal Care,Online,L,9/8/16,556515729,10/23/16,4226,81.73,56.67,345390.98,239487.42,105903.56
Europe,Russia,Cosmetics,Online,H,1/16/15,913551223,3/6/15,8963,437.2,263.33,3918623.6,2360226.79,1558396.81
Europe,Norway,Clothes,Online,L,2/18/14,797254502,3/6/14,4179,109.28,35.84,456681.12,149775.36,306905.76
Central America and the Caribbean,Guatemala,Beverages,Online,C,1/27/15,260799396,2/10/15,5192,47.45,31.79,246360.4,165053.68,81306.72
Sub-Saharan Africa,Senegal,Snacks,Online,L,6/18/12,777672231,7/10/12,9350,152.58,97.44,1426623,911064,515559
Europe,Slovakia,Snacks,Online,H,5/4/13,291671836,5/10/13,1033,152.58,97.44,157615.14,100655.52,56959.62
Sub-Saharan Africa,Cameroon,Cereal,Online,M,8/25/10,866909539,10/14/10,6652,205.7,117.11,1368316.4,779015.72,589300.68
Asia,Japan,Clothes,Online,H,5/2/17,137809169,5/23/17,9650,109.28,35.84,1054552,345856,708696
Asia,Bangladesh,Clothes,Online,H,2/11/17,759107053,2/12/17,5501,109.28,35.84,601149.28,197155.84,403993.44
Europe,Montenegro,Cereal,Online,C,9/17/13,955852019,9/30/13,6709,205.7,117.11,1380041.3,785690.99,594350.31
Asia,Philippines,Household,Offline,M,11/25/11,373405396,1/4/12,7810,668.27,502.54,5219188.7,3924837.4,1294351.3
Asia,Taiwan,Fruits,Offline,L,9/28/13,527441012,10/2/13,371,9.33,6.92,3461.43,2567.32,894.11
Europe,United Kingdom,Meat,Online,M,10/15/14,753945195,11/26/14,7992,421.89,364.69,3371744.88,2914602.48,457142.4
Sub-Saharan Africa,Eritrea,Cosmetics,Offline,L,6/12/15,459216773,7/8/15,1303,437.2,263.33,569671.6,343118.99,226552.61
Asia,Maldives,Household,Online,L,3/5/17,469867074,4/19/17,2964,668.27,502.54,1980752.28,1489528.56,491223.72
Middle East and North Africa,Syria,Household,Online,L,2/27/11,782819926,3/22/11,2667,668.27,502.54,1782276.09,1340274.18,442001.91
Sub-Saharan Africa,Mauritius ,Vegetables,Offline,L,5/6/12,115311658,6/25/12,2137,154.06,90.93,329226.22,194317.41,134908.81
Sub-Saharan Africa,Madagascar,Fruits,Offline,C,4/4/10,854891097,4/6/10,128,9.33,6.92,1194.24,885.76,308.48
Asia,Kazakhstan,Office Supplies,Offline,H,8/15/10,509419572,9/5/10,7427,651.21,524.96,4836536.67,3898877.92,937658.75
Sub-Saharan Africa,Namibia,Cosmetics,Offline,H,6/10/16,257070910,7/14/16,1850,437.2,263.33,808820,487160.5,321659.5
Europe,Belgium,Meat,Online,M,8/24/16,896331441,9/27/16,3247,421.89,364.69,1369876.83,1184148.43,185728.4
Asia,Brunei,Meat,Online,L,8/2/12,595999991,8/2/12,8497,421.89,364.69,3584799.33,3098770.93,486028.4
Europe,Latvia,Baby Food,Offline,C,3/30/14,745187890,4/26/14,6511,255.28,159.42,1662128.08,1037983.62,624144.46
Europe,Andorra,Baby Food,Online,C,9/28/13,103318965,11/13/13,3233,255.28,159.42,825320.24,515404.86,309915.38
Europe,Iceland,Cosmetics,Offline,H,11/4/11,650129544,11/5/11,6634,437.2,263.33,2900384.8,1746931.22,1153453.58
Sub-Saharan Africa,Madagascar,Fruits,Offline,C,2/23/14,835668456,3/22/14,1721,9.33,6.92,16056.93,11909.32,4147.61
North America,Greenland,Snacks,Offline,C,3/10/12,530297029,3/30/12,5530,152.58,97.44,843767.4,538843.2,304924.2
Australia and Oceania,Vanuatu,Meat,Online,H,6/30/17,574689090,7/15/17,2127,421.89,364.69,897360.03,775695.63,121664.4
Europe,Montenegro,Personal Care,Online,L,5/12/12,529830968,5/22/12,7612,81.73,56.67,622128.76,431372.04,190756.72
North America,United States of America,Household,Online,L,3/26/14,927021491,5/7/14,5115,668.27,502.54,3418201.05,2570492.1,847708.95
Sub-Saharan Africa,Sudan,Beverages,Online,M,4/27/11,117871987,5/6/11,9795,47.45,31.79,464772.75,311383.05,153389.7
Europe,Italy,Household,Offline,C,11/3/11,124306285,11/4/11,3847,668.27,502.54,2570834.69,1933271.38,637563.31
Sub-Saharan Africa,Zambia,Beverages,Online,C,7/1/17,788560712,7/20/17,1493,47.45,31.79,70842.85,47462.47,23380.38
Sub-Saharan Africa,Burundi,Baby Food,Online,L,2/16/12,223184096,2/17/12,3989,255.28,159.42,1018311.92,635926.38,382385.54
Sub-Saharan Africa,Namibia,Personal Care,Offline,H,12/4/10,661037766,12/6/10,4620,81.73,56.67,377592.6,261815.4,115777.2
Sub-Saharan Africa,Sierra Leone,Snacks,Offline,H,3/21/11,805295550,4/1/11,3704,152.58,97.44,565156.32,360917.76,204238.56
Middle East and North Africa,Jordan,Meat,Online,M,5/25/11,779443776,6/29/11,3589,421.89,364.69,1514163.21,1308872.41,205290.8
Central America and the Caribbean,Guatemala,Office Supplies,Online,M,9/13/14,777281272,9/27/14,3656,651.21,524.96,2380823.76,1919253.76,461570
Sub-Saharan Africa,Liberia,Cereal,Online,L,4/18/10,612919366,4/23/10,5316,205.7,117.11,1093501.2,622556.76,470944.44
